potds,score
100,64
84,82
73,63
63,80
93,96
43,90
73,92
103,100
58,46
77,100
99,94
20,73
83,36
85,98
84,92
34,93
77,51
124,83
60,74
43,99
53,67
34,100
67,76
98,92
82,60
48,100
80,100
74,88
48,100
16,77
61,86
47,85
49,95
39,67
112,91
79,76
103,76
103,76
103,51
91,59
88,48
86,60
69,97
65,82
104,100
70,100
61,35
65,100
53,82
88,43
100,36
71,83
45,80
103,83
30,94
49,100
39,77
69,83
77,79
80,82
24,100
104,39
120,82
77,86
93,69
87,100
85,14
60,36
69,74
112,28
39,79
66,43
91,38
81,56
84,85
90,100
97,79
60,81
112,88
36,83
61,83
88,68
86,100
80,97
78,70
54,97
112,87
41,85
88,83
43,88
48,79
90,19
59,91
82,75
66,55
127,100
90,76
108,100
74,100
78,72
71,78
63,100
92,46
128,74
81,100
70,91
84,62
40,100
37,74
117,28
57,91
102,55
53,87
90,96
40,58
105,75
53,80
117,65
63,57
122,68
26,82
73,100
111,68
58,64
116,89
126,47
74,72
74,83
102,100
83,96
54,68
104,41
92,90
63,45
101,87
82,56
104,100
115,41
52,37
69,84
62,96
79,61
122,63
113,75
56,100
86,100
73,89
66,60
62,100
48,84
32,68
113,91
36,91
49,55
57,68
60,78
51,69
97,68
99,99
114,91
38,56
73,87
62,39
127,92
69,72
116,61
45,37
56,73
103,100
111,89
78,97
50,95
66,45
67,59
86,92
48,75
108,100
87,90
71,100
77,78
82,74
51,77
41,100
89,41
120,96
89,84
19,89
59,63
102,70
77,78
85,45
103,35
59,85
72,82
94,52
89,100
38,63
48,100
123,100
87,85
97,92
67,31
125,100
83,93
87,78
104,87
67,89
52,94
63,74
67,100
89,79
130,68
45,80
106,78
53,79
54,87
49,76
80,64
61,54
42,77
104,75
64,100
106,36
27,80
72,76
70,100
94,99
80,65
68,75
95,93
100,62
59,30
27,78
63,66
40,99
97,78
39,100
92,64
49,73
54,62
12,39
91,97
104,62
109,81
59,92
96,77
45,91
103,77
74,83
46,77
52,60
85,72
47,61
116,44
59,15
89,90
125,36
99,79
101,67
107,46
102,85
68,39
65,41
31,100
93,61
50,78
79,98
92,72
52,45
72,63
61,88
45,34
87,64
51,89
51,64
84,100
28,69
121,100
126,54
88,52
93,54
94,59
58,56
48,99
71,61
102,48
49,94
66,100
81,100
88,75
66,34
89,58
101,90
114,100
86,50
123,80
69,100
32,51
91,94
49,62
45,96
129,93
56,74
94,54
64,80
79,71
94,86
59,81
78,21
38,78
57,51
98,67
75,79
53,67
107,76
107,84
58,15
114,78
75,86
118,100
86,100
59,68
52,86
91,63
67,77
61,57
68,100
112,65
37,68
124,39
43,100
50,56
92,58
77,71
66,79
85,60
115,88
51,82
89,66
65,75
106,65
64,88
69,100
89,26
88,75
89,33
64,98
87,52
92,83
100,100
59,89
52,24
45,28
68,100
83,61
109,88
103,58
83,80
108,85
100,57
58,83
46,81
106,78
61,59
104,100
76,79
98,89
95,98
120,71
114,58
84,92
66,69
93,39
63,75
47,96
72,33
38,100
114,86
108,73
85,28
37,83
62,100
108,76
94,84
53,100
78,89
35,76
52,75
75,86
65,69
115,90
96,100
78,39
61,100
58,72
94,84
60,100
76,72
62,1
69,43
118,44
84,100
44,55
63,85
105,50
74,90
97,68
86,82
40,68
95,100
16,71
64,100
108,63
96,83
80,80
107,83
93,73
32,100
55,100
65,93
100,42
104,85
115,96
76,80
89,100
86,71
61,81
84,92
45,94
83,100
34,87
54,100
75,72
72,100
100,65
48,100
71,97
64,25
86,74
45,72
63,80
99,64
95,62
49,76
104,59
76,87
68,100
73,51
64,100
89,71
81,100
75,41
112,70
88,68
81,93
87,68
69,100
59,100
86,61
47,92
63,90
57,38
81,100
69,100
90,55
41,100
65,98
120,97
65,30
57,80
70,40
113,73
111,94
106,60
105,90
71,50
71,75
102,69
59,46
58,54
61,76
93,47
73,100
106,100
53,90
87,100
113,100
41,83
80,100
81,67
59,46
92,100
90,69
49,81
60,78
125,100
78,100
40,100
78,56
57,91
55,52
126,76
50,91
66,86
92,45
66,98
66,69
73,56
116,87
27,97
113,74
116,82
100,45
84,87
63,100
108,80
51,96
57,97
78,82
88,94
69,91
110,48
53,87
82,71
79,48
86,36
58,94
131,65
84,67
89,87
105,92
107,88
87,100
88,35
101,70
79,47
76,78
61,98
77,100
61,98
50,87
99,60
29,100
43,80
67,61
107,72
57,100
50,56
101,100
94,68
112,47
76,44
104,80
80,80
74,97
108,92
70,100
128,100
103,36
45,81
87,86
72,100
54,100
38,61
129,54
95,60
92,100
62,90
41,72
121,75
73,83
58,95
87,100
88,98
72,97
66,81
53,91
86,99
58,85
83,93
22,88
117,80
108,71
88,96
114,95
50,61
60,100
100,97
94,49
56,81
100,67
84,95
87,100
73,58
113,56
91,81
43,82
110,100
84,53
70,59
59,57
87,81
78,40
21,84
59,63
50,10
47,57
48,70
46,74
20,97
86,91
88,27
119,100
79,37
87,100
80,93
45,98
104,52
64,77
28,100
103,100
101,73
43,43
87,81
84,84
92,77
80,78
62,66
62,100
46,79
50,89
64,90
82,89
79,69
68,100
33,71
95,96
95,97
79,48
93,92
119,74
102,86
84,100
78,42
79,74
77,98
60,43
74,100
71,93
53,76
71,83
87,100
86,58
52,100
44,100
66,99
82,48
56,75
44,100
108,98
61,43
29,72
69,44
109,72
80,76
32,72
127,81
99,30
70,31
78,96
72,56
106,76
96,100
61,83
101,100
45,31
49,100
104,63
74,100
30,70
51,49
93,100
57,100
91,85
52,94
74,78
124,53
98,83
82,20
82,6
94,100
108,84
100,48
114,89
56,43
65,91
77,87
39,100
45,100
81,68
68,83
95,58
79,100
82,64
95,85
80,60
81,73
51,100
